Word,Arousal,Valence,ValenceCategory,ValenceVsNeutral,Happiness,Anger,Fear,Sadness,Disgust,Surprise,Dominant_Emotion,N_Arousal,N_Valence,N_Primary_Emotion,N_Unknown_Arousal,N_Unknown_Valence,N_Unknown_Primary_Emotion,Concreteness,ConcretenessCategory,Imageability,ImageabilityCategory,SourceImageability,Frequency_Zipf,Prevalence,Length,Nsyl,N_phonemes,PoS,OLD20,AoA,DLP_RT,DLP_Acc,DCP_RT,DCP_Acc
mama,2.8125,4,positive,valenced,3.3,1,1,1.1,1,1,Happiness,14,19,10,0,0,0,3.6,high,6.73,high,van Loon,5.314817832,2.285936845,4,2,4,N,1.55,2.044256757,513.5302564,1,931.03,0.99
ja,2.823529412,3.894736842,positive,valenced,3.818181818,1.090909091,1.181818182,1.181818182,1,1.909090909,Happiness,17,19,11,0,0,0,1.533333333,low,#N/A,#N/A,#N/A,6.535027891,3.172453637,2,1,2,Function,1,2.25,494.9802941,1,1014.77,1
papa,2.5625,3.722222222,positive,valenced,4.142857143,1.142857143,1,1,1,1.142857143,Happiness,14,18,7,0,0,0,3,high,6.53,high,van Loon,5.348854103,2.474443765,4,2,4,N,1.65,2.336326952,570.4976471,1,936.88,0.99
nee,2.928571429,2.35,negative,neutral,1,1.727272727,1.363636364,1.454545455,1.363636364,1.181818182,Anger,14,20,11,0,0,0,2.466666667,low,#N/A,#N/A,#N/A,6.489231771,2.434059328,3,1,2,Function,1,2.555555556,488.6378788,0.902439024,1088.01,1
kaka,3.357142857,2.05,negative,neutral,1.090909091,1.454545455,1.181818182,1,4.727272727,1.181818182,Disgust,16,20,11,0,0,0,4.733333333,high,#N/A,#N/A,#N/A,2.262213705,1.341668444,4,2,4,N,1.8,2.611111111,629.4026471,0.85,1605.49,0.53
ikke,2.647058824,3.315789474,positive,neutral,2.22,1,1.1,1.08,1,1.1,Happiness,16,19,10,0,0,1,2.333333333,low,#N/A,#N/A,#N/A,3.502235879,0.63168818,4,2,3,Function,1.9,2.9,604.8604167,0.675,1410.1,0.75
neen,2.823529412,2.315789474,negative,neutral,1,2.2,1.2,2.2,1.2,1.7,Joint,17,19,10,0,0,0,2,low,#N/A,#N/A,#N/A,4.317313112,2.717546313,4,1,3,Function,1,2.965419501,550.1036111,0.951219512,1134.8,0.97
ik,2.6875,3.333333333,positive,neutral,2.444444444,1,1,1,1,1,Happiness,14,18,9,0,0,0,2.8,low,#N/A,#N/A,#N/A,7.600788182,2.693041356,2,1,2,Function,1,3.055555556,490.3841935,0.951219512,953.24,1
plassen,3.214285714,3,neutral,neutral,1.375,1,1,1,1.625,1.25,Disgust,11,20,8,0,0,0,4.133333333,high,6.1,high,van Loon,4.240039777,3.158751805,7,2,5,WW,1.55,3.252364865,536.6618919,1,950.8,1
drie,2.6875,3,neutral,neutral,1.211764706,1,1.094117647,1,1,1,Happiness,14,19,17,0,0,0,3.2,high,#N/A,#N/A,#N/A,5.721633318,2.895013434,4,1,3,TW,1.65,3.412698413,491.8878378,0.926829268,977.18,1
koek,2.8125,3.5,positive,neutral,2.688888889,1,1,1,1,1,Happiness,14,18,9,0,0,0,4.8,high,6.4,high,van Loon,3.514561034,2.759768721,4,1,3,N,1,3.447376543,530.5475,0.951219512,930.72,1
eten,2.5625,3.777777778,positive,valenced,3.872727273,1.072727273,1.163636364,1.163636364,1.345454545,1.418181818,Happiness,16,18,11,0,0,0,4.6,high,6.57,high,van Loon,5.649260847,2.616042602,4,2,3,WW,1,3.4625,478.1303333,0.95,974.98,1
drinken,3.411764706,3.315789474,positive,neutral,1.454545455,1.181818182,1,1.272727273,1,1,Happiness,16,19,11,0,0,0,4.066666667,high,6.5,high,van Loon,5.287058316,3.178026781,7,2,6,WW,1.65,3.5625,473.1648649,0.975609756,1002.39,1
slapen,1.266666667,3.842105263,positive,valenced,2.555555556,1.111111111,1,1.111111111,1,1,Happiness,16,19,9,0,0,0,3.666666667,high,6.6,high,van Loon,5.320599877,2.759768721,6,2,5,WW,1.5,3.574155405,470.4313889,1,957.1,1
school,2.866666667,3.105263158,positive,neutral,1.625,1.125,1.625,1.375,1,1.625,Joint,15,19,8,0,0,0,4.266666667,high,6.39,high,van Loon,5.392609734,2.529816204,6,1,4,N,1.6,3.60625,529.5119444,0.975609756,1000.38,0.99
bal,3,3.45,positive,neutral,2,1,1,1,1,1.777777778,Happiness,14,20,9,0,0,1,5,high,6.8,high,van Loon,4.906508509,2.838999078,3,1,3,N,1,3.63125,471.9794444,0.975609756,1005.82,1
water,2.5,3.368421053,positive,neutral,2.05,1,1,1,1,1.2,Happiness,17,19,8,0,0,0,4.8,high,6.47,high,van Loon,5.388285258,3.17275684,5,2,5,N,1.45,3.670524691,493.855,1,908.92,1
boom,2.058823529,3.157894737,positive,neutral,1.95,1,1,1,1,1.2,Happiness,17,19,8,0,0,0,4.733333333,high,6.9,high,van Loon,4.718112061,2.391757088,4,1,3,N,1.05,3.686607143,532.8251351,1,949.46,1
melk,2.714285714,3.105263158,positive,neutral,1.5,1.2,1.2,1.2,1.2,1.2,Happiness,17,19,10,0,0,0,4.8,high,6.53,high,van Loon,4.598776285,2.875239018,4,1,4,N,1.55,3.688635017,487.1147059,1,927.53,1
schoen,2.5,3.157894737,positive,neutral,1.690909091,1,1,1,1,1.163636364,Happiness,16,19,11,0,0,0,4.8,high,6.9,high,van Loon,4.128602797,2.635990006,6,1,4,N,1.55,3.7125,544.4508824,0.975,1003.38,0.99
hallo,2.5625,3.833333333,positive,valenced,2.6,1,1.177777778,1,1,1.711111111,Happiness,16,18,9,0,0,0,1.933333333,low,#N/A,#N/A,#N/A,5.744206585,2.867433904,5,2,4,Function,1.8,3.731481481,555.45225,1,944.66,1
hand,2.625,3.333333333,positive,neutral,1.181818182,1,1,1,1.090909091,1.090909091,Happiness,14,18,11,0,0,0,4.866666667,high,6.83,high,van Loon,5.300837126,3.148574889,4,1,4,N,1.2,3.733260234,501.216,0.975609756,999.09,1
beertje,2.071428571,3.578947368,positive,neutral,3.2,1.1,1.2,1.5,1.2,1.4,Happiness,16,19,10,0,0,0,4.866666667,high,#N/A,#N/A,#N/A,3.298743943,2.715701275,7,2,6,N,1.2,3.75,564.6394872,0.975,1119.05,1
hond,2.928571429,3.7,positive,valenced,2.963636364,1.272727273,1.363636364,1.363636364,1.454545455,1.272727273,Happiness,15,20,11,0,0,0,5,high,6.5,high,de Deyne et al. 2008,5.226988406,3.202805234,4,1,4,N,1.25,3.761962366,537.0056667,0.975,955.34,0.99
bed,1.4,3.578947368,positive,neutral,2.563636364,1,1.090909091,1,1,1,Happiness,14,19,11,0,0,0,4.8,high,6.54,high,van Loon,5.380084554,3.178026781,3,1,3,N,1,3.7625,514.6808571,0.975,918.83,1
broer,2.642857143,3.75,positive,valenced,3.2,1.142857143,1,1.142857143,1,1.285714286,Happiness,17,20,7,0,0,0,3.333333333,high,5.97,high,van Loon,5.390270976,2.800251388,5,1,4,N,1.55,3.764150943,517.0965625,1,972.9,1
slaapwel,1.75,3.777777778,positive,valenced,2.545454545,1.090909091,1.272727273,1.181818182,1.090909091,1.090909091,Happiness,14,18,11,0,0,0,1.666666667,low,#N/A,#N/A,#N/A,3.483073542,2.434421131,8,2,7,Function,2.8,3.777777778,503.166,1,1180.05,0.71
buik,2.5625,3.157894737,positive,neutral,1.090909091,1,1,1,1.363636364,1,Disgust,17,19,11,0,0,0,4.533333333,high,6.76,high,van Loon,4.416512363,2.748621681,4,1,3,N,1.1,3.78,534.6107692,1,985.7,0.99
mond,2.714285714,3.4,positive,neutral,1.777777778,1,1.111111111,1,1.555555556,1.111111111,Happiness,16,20,9,0,0,1,4.733333333,high,6.57,high,van Loon,5.219923605,2.867148747,4,1,4,N,1.25,3.783333333,488.4438235,1,957.48,1
voeten,2.8125,3.055555556,positive,neutral,1,1,1,1,1.222222222,1,Disgust,15,18,9,0,0,0,4.933333333,high,#N/A,#N/A,#N/A,4.764060255,3.193983111,6,2,4,N,1.15,3.788888889,509.9280556,1,961.54,1
pijn,4,1.894736842,negative,neutral,1.072727273,2.745454545,3.6,3.436363636,2.072727273,1.945454545,Fear,16,19,11,0,0,0,3.285714286,high,4.9,high,van Loon,5.425141972,2.470813583,4,1,3,N,1.2,3.79,487.9279412,0.975609756,915.33,0.99
verjaardag,3.071428571,4.35,positive,valenced,4,1,1,1,1,2.571428571,Happiness,14,20,7,0,0,0,3.333333333,high,4.33,high,van Loon,4.712179803,3.094203623,10,3,9,N,2.7,3.8375,516.4061111,0.951219512,1013.64,1
speelgoed,3.142857143,3.684210526,positive,valenced,2.2,1,1,1,1,1.2,Happiness,17,19,10,0,0,0,4.133333333,high,6.33,high,van Loon,4.246281872,2.70331711,9,2,7,N,2.75,3.8375,492.1502703,1,1015.58,1
pop,2.6875,3.157894737,positive,neutral,2.363636364,1.181818182,1.272727273,1.181818182,1.181818182,1.181818182,Happiness,15,19,11,0,0,0,4.266666667,high,6.67,high,van Loon,4.378343384,2.655046452,3,1,3,N,1,3.8375,493.2197368,1,945.31,1
dada,3,3.157894737,positive,neutral,1.625,1,1.125,1.875,1,1,Sadness,15,19,8,0,0,3,1.928571429,low,#N/A,#N/A,#N/A,2.806383502,1.073867403,4,2,4,N,1.95,3.848139256,659.8011111,0.7,1556.13,0.66
jongen,2.857142857,3.4,positive,neutral,1.555555556,1,1,1,1,1,Happiness,14,20,9,0,0,0,4.666666667,high,6.72,high,van Loon,5.639189653,3.071788379,6,2,4,N,1.2,3.848544521,542.1203125,1,930.87,1
twee,2.6,3.052631579,positive,neutral,1.4,1.2,1.2,1.2,1.2,1.2,Happiness,14,19,10,0,0,0,3.133333333,high,#N/A,#N/A,#N/A,6.003251047,3.135422633,4,1,3,TW,1.65,3.85,472.6777778,1,929.7,1
jas,2.571428571,3.25,positive,neutral,1.5,1,1,1.24,1,1,Happiness,17,20,10,0,0,1,4.8,high,6.459459459,high,de Deyne et al. 2008,4.682272366,2.802957035,3,1,3,N,1,3.85,523.0667742,0.975,934.18,1
meisje,2.857142857,3.526315789,positive,neutral,2.090909091,1.363636364,1.545454545,1.272727273,1,1.090909091,Happiness,14,19,11,0,0,0,4.666666667,high,6.63,high,van Loon,5.582903853,2.738080155,6,2,5,N,1.75,3.891722973,491.7605405,0.975,978.88,0.99
zeep,2.4375,3.333333333,positive,neutral,1.4,1.2,1.2,1.2,1.2,1.2,Happiness,17,18,10,0,0,0,4.866666667,high,6.73,high,van Loon,4.153015637,2.574749942,4,1,3,N,1,3.8975,478.9540541,0.975,881.48,1
spelen,3.428571429,3.95,positive,valenced,3.6,1.072727273,1.072727273,1.072727273,1.072727273,1.527272727,Happiness,14,20,11,0,0,0,3.533333333,high,6.27,high,van Loon,5.394055206,3.210100457,6,2,5,WW,1.35,3.9,512.5602564,1,1014.95,0.99
rood,3.071428571,3,neutral,neutral,1.181818182,1.545454545,1.363636364,1.181818182,1.181818182,1.181818182,Anger,14,20,11,0,0,0,4.333333333,high,6.4,high,de Deyne et al. 2019,4.686585331,2.799096049,4,1,3,ADJ,1.25,3.9125,493.3094444,1,910.73,1
kat,2.5,3.7,positive,valenced,3.666666667,1.111111111,1.222222222,1.333333333,1.222222222,1.333333333,Happiness,12,20,9,0,0,0,4.866666667,high,6.46875,high,de Deyne et al. 2008,4.723026091,3.224214408,3,1,3,N,1,3.91875,499.3156757,1,950.93,1
boem,3.75,2.166666667,negative,neutral,1,1.125,3.175,1.5,1,2.5,Fear,15,18,8,0,0,0,2.857142857,low,#N/A,#N/A,#N/A,3.949175246,1.811441242,4,1,3,N,1.05,3.926282051,634.3621212,0.925,1212.75,0.95
hoofd,2.866666667,3.105263158,positive,neutral,1.6,1.2,1.3,1.2,1.3,1.2,Happiness,17,19,10,0,0,0,4.8,high,6.37,high,van Loon,5.437828063,3.166630419,5,1,4,N,1.75,3.931666667,527.2032353,1,966.44,1
appel,2.428571429,3.35,positive,neutral,1.75,1,1.2,1.1,1.1,1,Happiness,17,20,8,0,0,0,4.666666667,high,6.9,high,van Loon,4.00856185,3.142277774,5,2,4,N,1.7,3.936666667,501.5582857,0.975609756,934.72,1
je,2.875,3.210526316,positive,neutral,1.727272727,1,1,1,1,1.181818182,Happiness,16,19,11,0,0,0,1.866666667,low,#N/A,#N/A,#N/A,7.563587212,2.445652522,2,1,2,Function,1,3.944444444,548.4821875,0.804878049,1018.49,0.99
stoel,2.428571429,3,neutral,neutral,1.666666667,1.111111111,1.111111111,1.111111111,1.111111111,1.111111111,Happiness,16,20,9,0,0,0,4.666666667,high,6.86,high,van Loon,4.70928014,3.145334597,5,1,4,N,1.3,3.94702381,515.3485714,1,968.56,0.99
neus,2.785714286,3.05,positive,neutral,1.25,1,1,1,1.5,1.375,Disgust,16,20,8,0,0,0,4.933333333,high,6.73,high,van Loon,4.845373419,2.877489833,4,1,3,N,1.35,3.954475309,510.458125,0.926829268,939.59,1
niet,2.642857143,2.05,negative,neutral,1.2,2,1.3,2,1.3,1.5,Joint,14,20,10,0,0,0,1.2,low,#N/A,#N/A,#N/A,7.263019781,2.866830122,4,1,3,Function,1.15,3.9625,541.8813514,0.926829268,956.4,0.99
televisie,2.8125,3.052631579,positive,neutral,2.3,1.2,1.2,1.3,1.2,1.4,Happiness,17,19,10,0,0,0,4.8,high,6.9,high,van Loon,4.353543104,3.12177922,9,4,8,N,3.15,3.9625,481.7139024,1,985.26,1
kleuren,2.785714286,3.55,positive,neutral,3.6,1,1.1,1,1,1.4,Happiness,14,20,10,0,0,0,4.133333333,high,6.3,high,van Loon,4.188529143,2.54015997,7,2,5,WW,1.5,3.9625,509.6127778,1,971.17,1
geel,2.705882353,3.105263158,positive,neutral,2.5,1,1,1,1,1,Happiness,16,19,10,0,0,0,3.8,high,6.7,high,de Deyne et al. 2019,3.980403375,3.195357045,4,1,3,ADJ,1,3.98125,502.1877778,1,999.9,1
opa,2.357142857,3.75,positive,valenced,3.090909091,1.254545455,1.072727273,2.127272727,1.072727273,1.436363636,Happiness,14,20,11,0,0,0,3.4,high,6.33,high,van Loon,4.758380427,2.841109838,3,2,3,N,1.65,3.98293379,492.1289189,0.975609756,905.48,1
vader,3,3.473684211,positive,neutral,2.818181818,1.272727273,1.363636364,1.454545455,1.090909091,1,Happiness,15,19,11,0,0,0,3.133333333,high,6.35,high,van Loon,5.900705637,3.209999781,5,2,5,N,1.25,3.990833333,466.5297143,0.975,986.79,1
moeder,2.6875,3.944444444,positive,valenced,2.625,1.25,1,1.125,1,1.25,Happiness,16,18,8,0,0,0,3,high,6.58,high,van Loon,5.814573727,2.753219071,6,2,5,N,1.6,3.99375,503.4248387,1,979.77,0.99
handen,2.9375,3.157894737,positive,neutral,1.666666667,1,1,1,1,1.111111111,Happiness,16,19,9,0,0,1,4.8,high,#N/A,#N/A,#N/A,5.332030638,3.217617195,6,2,5,N,1.05,4,514.6613158,1,947.02,1
brood,2.625,3.388888889,positive,neutral,1.5,1,1,1,1,1.083333333,Happiness,13,18,12,0,0,0,5,high,6.67,high,van Loon,4.526247497,2.592332143,5,1,4,N,1.65,4.006966341,487.4978788,1,933.88,0.99
duim,2.75,3.210526316,positive,neutral,1.090909091,1,1,1,1,1,Happiness,17,19,11,0,0,0,5,high,6.87,high,van Loon,4.03316632,2.679044905,4,1,3,N,1.3,4.008333333,482.1605714,0.975,973.28,1
vier,2.941176471,3.052631579,positive,neutral,1.625,1,1,1,1,1.45,Happiness,14,19,8,0,0,0,3.333333333,high,#N/A,#N/A,#N/A,5.383958193,3.206030552,4,1,3,TW,1,4.011538462,558.3591176,0.87804878,1008.65,1
pap,2.4,2.842105263,negative,neutral,2.5,1.2,1.2,1.2,2.2,1.4,Happiness,14,19,10,0,0,0,4,high,6.37,high,van Loon,5.075312963,2.512796222,3,1,3,N,1,4.0125,535.9297222,0.975,978.35,0.99
goed,2.785714286,4.3,positive,valenced,4.028571429,1,1,1,1,1,Happiness,16,20,7,0,0,0,1.466666667,low,4.65,high,de Deyne et al. 2019,6.542590073,2.715969162,4,1,3,ADJ,1.4,4.025,492.2109091,1,963.44,1
klein,2.647058824,2.473684211,negative,neutral,1.363636364,1,1.181818182,1.709090909,1,1.181818182,Sadness,15,19,11,0,0,0,2.733333333,low,6.1,high,de Deyne et al. 2019,5.291496944,2.544599206,5,1,4,ADJ,1.6,4.025,510.6528571,0.925,927.09,0.99
stout,3.3125,2.052631579,negative,neutral,1,3.3,1.3,1.6,1.3,1.1,Anger,17,19,10,0,0,0,2.266666667,low,5.35,high,de Deyne et al. 2019,4.000698652,2.713639439,5,1,4,ADJ,1.35,4.025,505.2613889,0.95,999.16,1
tafel,2.666666667,3.052631579,positive,neutral,1.363636364,1,1,1,1,1.181818182,Happiness,15,19,11,0,0,0,4.933333333,high,6.7,high,van Loon,4.921161885,2.751958054,5,2,5,N,1.7,4.034166667,549.6652941,0.975,965.29,1
groen,2.235294118,3.368421053,positive,neutral,1.7,1.2,1.3,1.2,1.3,1.2,Happiness,14,19,10,0,0,0,4.2,high,6.95,high,de Deyne et al. 2019,4.448070641,3.31062831,5,1,4,ADJ,1.5,4.04375,519.2008824,1,923.54,1
mam,2.5,3.842105263,positive,valenced,3.314285714,1.285714286,1.285714286,1.285714286,1,1.285714286,Happiness,16,19,7,0,0,0,3.461538462,high,#N/A,#N/A,#N/A,5.195043498,1.289752984,3,1,3,N,1,4.044444444,575.5272414,0.780487805,1260.52,0.94
onderbroek,2.625,3.105263158,positive,neutral,1.2,1,1,1,1.4,1.1,Disgust,15,19,10,0,0,0,4.733333333,high,6.6,high,van Loon,3.873773845,3.191142083,10,3,9,N,2.35,4.05,513.6620513,0.975,1002.03,1
tekening,2.333333333,3.526315789,positive,neutral,2.8,1.2,1.2,1.2,1.2,1.5,Happiness,15,19,10,0,0,0,4.6,high,6.47,high,van Loon,3.950291817,3.217617195,8,3,7,N,2,4.055555556,521.6358974,0.975,946.25,1
vinger,2.6,3.052631579,positive,neutral,1.325,1.25,1,1,1,1,Happiness,14,19,8,0,0,0,4.866666667,high,6.77,high,van Loon,4.460972974,2.657178592,6,2,5,N,1.7,4.06875,514.7225714,0.975,956.25,1
dier,2.625,3.5,positive,neutral,2.9,1.1,1.3,1.2,1.1,1.2,Happiness,16,18,10,0,0,0,3.733333333,high,5.73,high,van Loon,4.448777409,2.767025623,4,1,3,N,1,4.06875,515.7931429,0.926829268,982.35,0.99
teen,2.875,2.894736842,negative,neutral,1.3,1,1,1,1.625,1,Disgust,16,19,8,0,0,0,5,high,6.57,high,van Loon,3.868426943,3.299637746,4,1,3,N,1,4.0775,491.5391176,0.853658537,997.2,0.99
been,2.764705882,3,neutral,neutral,1.4,1.2,1.2,1.2,1.2,1.2,Happiness,15,19,10,0,0,0,5,high,6.93,high,van Loon,4.729368925,2.646929921,4,1,3,N,1,4.08625,511.7488571,0.975609756,953.96,0.99
hebben,3,3,neutral,neutral,1.872727273,1.090909091,1,1.272727273,1.181818182,1,Happiness,14,19,11,0,0,0,1.866666667,low,3.5,low,van Loon,6.53575739,3.204387932,6,2,4,WW,1.55,4.0875,484.6878378,0.975,891.8,0.99
koud,2.785714286,2.45,negative,neutral,1,1,1.6,1.6,1.3,1,Joint,16,20,10,0,0,0,3.733333333,high,5.65,high,de Deyne et al. 2019,4.982061726,2.590095077,4,1,3,ADJ,1.5,4.0875,464.5190909,0.951219512,978.3,1
poes,2.823529412,3.684210526,positive,valenced,2.9,1,1.2,1.1,1,1.7,Happiness,17,19,10,0,0,0,4.666666667,high,6.77,high,van Loon,3.820122609,2.877781129,4,1,3,N,1,4.094086022,467.215641,1,992.89,1
voet,2.8125,3,neutral,neutral,1,1,1,1,1,1.3,Surprise,16,19,8,0,0,0,4.866666667,high,6.43,high,van Loon,4.705970563,3.225967815,4,1,3,N,1,4.105357143,474.3591176,0.975,940.18,0.99
oog,2.875,2.947368421,negative,neutral,1.636363636,1.272727273,1.272727273,1.454545455,1.545454545,1.545454545,Happiness,16,19,11,0,0,0,5,high,6.83,high,van Loon,4.835042768,2.83863735,3,1,2,N,1,4.10625,480.036875,0.951219512,953.93,1
kakken,3,2.368421053,negative,neutral,1.657142857,1,1,1,2.771428571,1.285714286,Disgust,16,19,7,0,0,0,4.266666667,high,6.7,high,van Loon,3.240049772,2.010177817,6,2,4,WW,1,4.111111111,568.71775,1,1134,0.98
tiktak,2.647058824,3,neutral,neutral,1.6,1,1,1,1,1.4,Happiness,14,18,10,0,1,0,3.785714286,high,#N/A,#N/A,#N/A,2.774224905,1.48925386,6,2,6,N,2.25,4.111111111,584.8490625,0.85,1270.92,0.89
gras,2.625,3.052631579,positive,neutral,1.714285714,1,1,1,1,1,Happiness,14,19,7,0,0,0,4.933333333,high,6.4,high,van Loon,4.273040646,2.53214934,4,1,4,N,1.25,4.11509434,502.5026316,0.975609756,985.16,1
kijk,2.823529412,3.105263158,positive,neutral,1.222222222,1,1,1,1,1.377777778,Surprise,12,19,9,0,0,0,3,high,2.37,low,van Loon,6.02109573,2.891449704,4,1,3,N,1.35,4.135555556,505.7984211,0.975609756,976.34,1
lopen,4.25,3.277777778,positive,neutral,1.25,1.125,1,1,1,1.325,Surprise,16,18,8,0,0,0,3.933333333,high,6.6,high,van Loon,5.345505273,2.836704717,5,2,4,WW,1,4.1375,520.7805714,1,963.03,1
zus,2.857142857,3.526315789,positive,neutral,2,1,1,1,1,1,Happiness,16,19,10,0,0,0,3.066666667,high,5.7,high,van Loon,5.117381016,2.710096244,3,1,3,N,1.3,4.1375,480.5093939,1,921.89,1
moe,1.823529412,2.105263158,negative,neutral,1.333333333,1.222222222,1.222222222,2.333333333,1.222222222,1.333333333,Sadness,16,19,9,0,0,0,2.785714286,low,5.9,high,de Deyne et al. 2019,4.953949986,2.687946711,3,1,2,ADJ,1,4.1375,482.3027778,1,954.77,1
blauw,2.214285714,3.4,positive,neutral,1.272727273,1.181818182,1.181818182,1.363636364,1.090909091,1.090909091,Sadness,14,20,11,0,0,0,4.533333333,high,6.7,high,de Deyne et al. 2019,4.517286971,2.518616267,5,1,4,ADJ,1.6,4.14375,515.1260606,1,941.65,1
dorst,2.9375,2.421052632,negative,neutral,1.625,1.2,1,1,1,1.25,Happiness,16,19,8,0,0,0,3.266666667,high,4.4,high,van Loon,4.28195101,2.5120374,5,1,5,N,1.15,4.149013158,559.506,0.975,1000.43,0.99
honger,3.25,2.388888889,negative,neutral,1.272727273,2.145454545,1.545454545,2.236363636,1.272727273,1,Sadness,14,18,11,0,0,0,3.466666667,high,#N/A,#N/A,#N/A,4.965929933,2.496632217,6,2,5,N,1.8,4.15,487.46,1,995.17,0.99
wenen,3.1875,1.736842105,negative,neutral,1,1.5,2.2,4.3,1.2,1.5,Sadness,15,19,10,0,0,0,4.6,high,6.27,high,van Loon,3.969886299,2.353076185,5,2,4,WW,1,4.15,509.4802632,0.975609756,1116.53,0.99
kleuterklas,3.6,3,neutral,neutral,2.177777778,1.111111111,1.111111111,1.111111111,1.111111111,1.111111111,Happiness,16,19,9,0,0,0,3.466666667,high,#N/A,#N/A,#N/A,2.701654317,2.598828615,11,3,10,N,3.55,4.15,567.3864103,1,1041.06,1
vijf,2.875,3.052631579,positive,neutral,1.363636364,1.090909091,1.090909091,1.090909091,1,1,Happiness,14,19,11,0,0,0,3,high,#N/A,#N/A,#N/A,5.449590083,2.757264059,4,1,3,TW,1.6,4.157894737,496.9057576,0.853658537,1017.3,1
poesje,2.625,3.789473684,positive,valenced,3.457142857,1,1,1,1,1,Happiness,15,19,7,0,0,0,4.2,high,#N/A,#N/A,#N/A,4.101166023,2.7498612,6,2,5,N,1.7,4.166666667,548.4574286,0.975,979.5,1
kind,2.642857143,4.15,positive,valenced,3.636363636,1.272727273,1.363636364,1.636363636,1.181818182,2,Happiness,14,20,11,0,0,0,4.666666667,high,6.73,high,van Loon,5.522834792,2.538814381,4,1,4,N,1.5,4.16745283,495.8796774,1,979.4,0.99
koe,2.857142857,2.947368421,negative,neutral,1.163636364,1,1.181818182,1.090909091,1.436363636,1,Disgust,15,19,11,0,0,0,5,high,6.5625,high,de Deyne et al. 2008,4.268247914,2.531032564,3,1,2,N,1,4.16875,507.5351429,0.951219512,933.54,0.99
snoep,3,3.736842105,positive,valenced,3.222222222,1,1,1,1,1.444444444,Happiness,16,19,9,0,0,0,4.6,high,6.36,high,van Loon,4.098799421,3.183084632,5,1,4,N,1.4,4.186895161,510.7781081,0.975609756,952.07,1
schoenen,2.625,3.333333333,positive,neutral,2.771428571,1,1,1,1.142857143,1,Happiness,15,18,7,0,0,0,4.866666667,high,6.515151515,high,de Deyne et al. 2008,4.851287708,3.161698055,8,2,5,N,1.75,4.188888889,503.53,0.975609756,932.94,1
lepel,2.6,2.947368421,negative,neutral,1.4,1.2,1.2,1.2,1.2,1.2,Happiness,15,19,10,0,0,0,4.933333333,high,6.407407407,high,de Deyne et al. 2008,3.699672992,3.029626537,5,2,5,N,1.55,4.191666667,487.9048649,0.975609756,938.71,1
broek,2.785714286,3.15,positive,neutral,1.5,1,1,1.125,1,1,Happiness,14,20,8,0,0,0,5,high,6.444444444,high,de Deyne et al. 2008,4.827869199,2.688479513,5,1,4,N,1.45,4.194811321,474.4955882,1,1034.33,1
zitten,2.071428571,3.1,positive,neutral,1.66,1,1,1.16,1,1,Happiness,16,20,10,0,0,1,4.333333333,high,6.67,high,van Loon,5.871363443,3.15192332,6,2,4,WW,1.25,4.2125,475.2963889,1,1012.53,1
bad,2,3.666666667,positive,valenced,3.145454545,1.072727273,1.072727273,1.072727273,1.072727273,1.345454545,Happiness,17,18,11,0,0,0,4.666666667,high,6.8,high,van Loon,4.629205657,3.118832366,3,1,3,N,1,4.2125,504.4730303,0.951219512,1044.45,1
aap,3.066666667,2.894736842,negative,neutral,1.818181818,1,1.090909091,1,1.272727273,1.090909091,Happiness,16,19,11,0,0,0,4.733333333,high,6.454545455,high,de Deyne et al. 2008,4.455788615,3.121501032,3,1,2,N,1,4.2125,486.8642424,0.975,914.11,0.99
knuffel,2.647058824,4.578947368,positive,valenced,4.5,1.1,1.1,1.8,1.1,1.9,Happiness,17,19,10,0,0,0,4.6,high,#N/A,#N/A,#N/A,4.076895194,2.775667205,7,2,6,N,2,4.2125,510.7813158,1,981.1,1
zwaaien,3.647058824,3.368421053,positive,neutral,2.444444444,1,1,1.222222222,1,1.222222222,Happiness,17,19,9,0,0,0,4,high,6.63,high,van Loon,3.868426943,2.671307152,7,2,5,WW,1.8,4.2125,525.8527027,1,987.93,1
beer,3.25,3.052631579,positive,neutral,1.95,1.25,2.125,1,1,1.875,Fear,16,19,8,0,0,0,4.933333333,high,6.67,high,van Loon,4.405721915,2.837226479,4,1,3,N,1,4.216071429,495.0735135,0.951219512,1067.58,1
auto,2.857142857,3.3,positive,neutral,1.618181818,1,1.363636364,1.090909091,1,1.181818182,Happiness,16,20,11,0,0,0,5,high,6.823529412,high,de Deyne et al. 2008,5.660863866,2.570046941,4,2,3,N,2,4.216666667,484.6680645,1,879.19,0.99
klas,2.875,2.894736842,negative,neutral,2,1.2,1.2,1.2,1.2,1.4,Happiness,14,19,10,0,0,0,4.066666667,high,6.33,high,van Loon,4.69004538,2.863105564,4,1,4,N,1.05,4.217361111,531.5628571,0.975,948.09,1
mij,2.733333333,3.263157895,positive,neutral,2.111111111,1,1.222222222,1,1.111111111,1.444444444,Happiness,16,19,9,0,0,1,1.533333333,low,#N/A,#N/A,#N/A,6.404928601,2.357877249,3,1,2,Function,1,4.222222222,528.6868571,0.87804878,1031.72,0.99
huis,2.533333333,3.157894737,positive,neutral,2.84,1,1.16,1,1,1.1,Happiness,16,19,10,0,0,1,4.933333333,high,6.87,high,van Loon,5.913230606,2.859385196,4,1,3,N,1,4.239814815,478.2091667,0.975609756,991.15,0.99
